name,rating,games
Logan,1386,277
Leif,1093,24
John,1045,43
Miler,937,172
Dario,936,6
Ahmed,933,7
Ben,929,3
Delaney,924,7
Henry,923,200
Tyler,913,12
Luis,874,9
Jack,866,144
Cade,865,9
Aidan,807,17
Murdoch,734,44
